,Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_SA,T0_V,T0_Vcx,T0_SAcx,T6_TLE,T6_SA,T6_V,T6_Vcx,T6_SAcx,T12_TLE,T12_SA,T12_V,T12_Vcx,T12_SAcx,T12_Dead,T12_TOD,CulumativeBreaks,T12_Status,X,T0_FieldTLE,T6_FieldTLE,T0_Vinter,T6_Vinter,T12_Vinter,TLE_0.6,SA_0.6,V_0.6,Vinter_0.6,SAtoV_0.6,TLE_6.12,SA_6.12,V_6.12,Vinter_6.12,SAtoV_6.12,TLE_0.12,SA_0.12,V_0.12,Vinter_0.12,SAtoV_0.12,SAtoTLE_0.6,SAtoTLE_6.12,SAtoTLE_0.12,FieldTLE_0.6,Status
1,Bahia Honda,2,1,1,1,7,3D,9.069,35.7,7.92,19.587,44.116,9.421,33.794,9.269,22.777,51.742,35.148,93.595,22.675,108.889,130.152,0,13,1,A,,13,10.6,11.667,13.508,86.214,0.352,-1.906,1.349,1.841,-0.861659262,25.727,59.801,13.406,72.706,0.481757154,26.079,57.895,14.755,74.547,-0.379902108,-5.414772727,2.324445135,2.219985429,-2.4,Broken
2,Bahia Honda,3,1,31,5,4,3D,9.551,44.971,12.16,27.654,53.179,40.561,144.685,41.599,283.985,240.388,72.369,200.361,46.56,561.217,375.755,0,13,0,A,,9.8,41.2,15.494,242.386,514.657,31.01,99.714,29.439,226.892,-0.220184611,31.808,55.676,4.961,272.271,0.825197667,62.818,155.39,34.4,499.163,0.605013056,3.215543373,1.750377264,2.473654048,31.4,Unbroken
3,Bahia Honda,7,1,36,6,5,3D,6.213,24.055,6.676,13.654,33.048,4.419,18.105,4.172,8.852,26.604,10.151,26.495,6.115,18.152,40.201,0,13,1,A,,7.8,5.3,6.978,4.68,12.037,-1.794,-5.95,-2.504,-2.298,0.736439742,5.732,8.39,1.943,7.357,-0.006857028,3.938,2.44,-0.561,5.059,0.729582713,3.316610925,1.463712491,0.61960386,-2.5,Broken
4,Bahia Honda,10,1,62,10,6,3D,13.103,60.266,20.632,40.519,65.428,41.448,134.285,39.787,228.014,201.237,54.668,140.854,35.57,331.092,277.241,0,13,1,A,,12.7,40.4,19.887,188.227,295.522,28.345,74.019,19.155,168.34,0.454100883,13.22,6.569,-4.217,107.295,0.584812643,41.565,80.588,14.938,275.635,1.038913526,2.611360028,0.496898638,1.938842776,27.7,Broken
5,Bahia Honda,11,2,7,3,4,3D,9.19,47.522,13.965,34.601,61.743,6.768,30.008,8.025,16.225,42.311,9.925,34.685,10.019,25.235,54.744,0,13,1,A,,10.8,8.7,20.636,8.2,15.216,-2.422,-17.514,-5.94,-12.436,0.336378731,3.157,4.677,1.994,7.016,-0.277392294,0.735,-12.837,-3.946,-5.42,0.058986436,7.231213873,1.48146975,-17.46530612,-2.1,Broken
6,Bahia Honda,12,2,31,5,6,3D,3.901,15.226,2.99,5.073,17.776,1.832,12.575,3.51,6.218,20.067,10.76,36.226,6.736,24.278,45.867,0,13,1,A,,9.3,2.1,2.083,2.708,17.542,-2.069,-2.651,0.52,0.625,-1.50968661,8.928,23.651,3.226,14.834,1.795348039,6.859,21,3.746,15.459,0.285661429,1.281295312,2.649081541,3.061670797,-7.2,Broken
7,Bahia Honda,16,2,1,1,4,3D,11.42,64.259,25.912,47.208,74.968,2.561,18.48,6.134,9.473,28.95,17.264,56.62,10.511,45.62,69.322,0,13,1,A,,12.2,2.8,21.296,3.339,35.109,-8.859,-45.779,-19.778,-17.957,0.532822523,14.703,38.14,4.377,31.77,2.374021694,5.844,-7.639,-15.401,13.813,2.906844218,5.167513263,2.59402843,-1.307152635,-9.4,Broken
8,Bahia Honda,19,2,36,6,7,3D,7.632,32.093,7.301,16.228,39.571,1.891,16.228,4.791,8.552,27.453,10.4,47.581,13.455,38.533,63.961,0,13,1,A,,8.5,3.6,8.927,3.761,25.078,-5.741,-15.865,-2.51,-5.166,-1.008514915,8.509,31.353,8.664,21.317,0.149121902,2.768,15.488,6.154,16.151,-0.859393013,2.763455844,3.684686802,5.595375723,-4.9,Broken
9,Bahia Honda,22,3,13,4,7,3D,8.696,24.538,4.669,12.941,35.88,0.664,2.278,0.324,0.466,3.716,1.328,2.628,0.346,0.574,3.947,0,13,1,A,,8.9,1,8.272,0.142,0.228,-8.032,-22.26,-4.345,-8.13,1.775349098,0.664,0.35,0.022,0.086,0.564511525,-7.368,-21.91,-4.323,-8.044,2.339860623,2.771414343,0.527108434,2.973669924,-7.9,Broken
10,Bahia Honda,26,3,36,6,6,3D,5.376,22.732,4.944,9.989,28.473,0.836,4.204,0.762,1.282,8.307,0.1,1.2,0,0,1.2,0,13,1,A,,6.1,0.5,5.045,0.52,0,-4.54,-18.528,-4.182,-4.525,0.919163927,-0.736,-3.004,-0.762,-0.52,Inf,-5.276,-21.532,-4.944,-5.045,Inf,4.081057269,4.081521739,4.081122062,-5.6,Broken
11,Big Pine,2,1,41,7,9,3D,7.7,28.266,6.036,12.033,31.219,18.792,59.841,14.912,61.067,88.674,35.335,94.993,24.239,139.274,145.905,0,13,1,A,,8.2,21.5,5.997,46.155,115.035,11.092,31.575,8.876,40.158,-0.669959988,16.543,35.152,9.327,68.88,-0.093927786,27.635,66.727,18.203,109.038,-0.763887774,2.846646232,2.124886659,2.414582956,13.3,Broken
12,Big Pine,3,1,62,10,8,3D,9.797,44.915,12.247,26.239,52.379,1.632,16.795,4.744,7.681,23.812,8.108,30.832,7.392,18.638,38.107,0,13,1,A,,10.5,2.6,13.992,2.937,11.246,-8.165,-28.12,-7.503,-11.055,-0.127167375,6.476,14.037,2.648,8.309,0.630734288,-1.689,-14.083,-4.855,-2.746,0.503566913,3.443968157,2.167541692,8.338069864,-7.9,Broken
