Colony,Number of Photos,TLE,SA,V,Vcx,Vinter
BHFrag10_T6,85,41.448,134.285,39.787,228.014,188.227
BHFrag11_T6,71,6.768,30.008,8.025,16.225,8.2
BHFrag12_T6,50,1.832,12.575,3.51,6.218,2.708
BHFrag13_T6,19,1.345,6.814,1.74,2.215,0.475
BHFrag14_T6,22,1.046,6.801,1.832,2.559,0.727
BHFrag15_T6,57,4.557,18.256,6.323,9.176,2.853
BHFrag16_T6,49,2.561,18.48,6.134,9.473,3.339
BHFrag18_T6,48,0.82,7.845,1.656,2.683,1.027
BHFrag19_T6,59,1.891,16.228,4.791,8.552,3.761
BHFrag1_T6,83,12.426,40.957,13.015,36.247,23.232
BHFrag20_T6,75,11.222,41.28,10.039,33.708,23.669
BHFrag21_T6,61,2.873,9.054,1.835,3.087,1.252
BHFrag22_T6,50,0.664,2.278,0.324,0.466,0.142
BHFrag23_T6,39,4.977,18.915,5.241,9.645,4.404
BHFrag24_T6,21,2.075,10.088,2.837,4.058,1.221
BHFrag26_T6,41,0.836,4.204,0.762,1.282,0.52
BHFrag2_T6,73,9.421,33.794,9.269,22.777,13.508
BHFrag3_T6,84,40.561,144.685,41.599,283.985,242.386
BHFrag4_T6,86,16.396,75.229,24.507,109.683,85.176
BHFrag5_T6,68,2.78,19.47,5.3,11.046,5.746
BHFrag6_T6,54,3.43,18.013,5.854,10.497,4.643
BHFrag7_T6,66,4.419,18.105,4.172,8.852,4.68
BHFrag8_T6,43,1.535,13.484,2.627,4.684,2.057
BHFrag9_T6,36,0.449,2.317,0.795,7.875,7.08
BPFrag10_T6,70,24.783,78.115,20.74,111.26,90.52
BPFrag11_T6,41,3.138,24.11,7.219,16.182,8.963
BPFrag12_T6,56,26.469,81.918,21.746,113.208,91.462
BPFrag13_T6,84,25.773,79.61,21.966,95.912,73.946
BPFrag14_T6,57,15.943,68.709,21.774,100.684,78.91
BPFrag16_T6,61,9.19,39.679,14.311,36.268,21.957
BPFrag17_T6,38,1.284,9.797,2.741,3.984,1.243
BPFrag1_T6,33,0.788,6.169,1.313,1.801,0.488
BPFrag20_T6,33,0.869,10.679,2.696,3.742,1.046
BPFrag22_T6,75,21.007,81.432,20.832,112.144,91.312
BPFrag23_T6,58,4.162,18.796,4.921,9.506,4.585
BPFrag24_T6,54,1.226,9.548,3.053,3.728,0.675
BPFrag25_T6,11,0.435,5.213,1.243,1.599,0.356
BPFrag26_T6,53,3.44,28.696,8.48,18.786,10.306
BPFrag27_T6,92,16.011,58.295,14.65,53.428,38.778
BPFrag28_T6,40,0.71,7.608,1.794,2.478,0.684
BPFrag29_T6,90,40.627,191.947,67.812,328.502,260.69
BPFrag2_T6,75,18.792,59.841,14.912,61.067,46.155
BPFrag30_T6,35,1.03,14.468,4.304,6.057,1.753
BPFrag3_T6,51,1.632,16.795,4.744,7.681,2.937
BPFrag4_T6,79,12.267,51.5,14.027,53.295,39.268
BPFrag5_T6,69,10.487,48.982,13.359,51.841,38.482
BPFrag6_T6,85,27.059,98.762,25.045,111.78,86.735
BPFrag7_T6,69,18.514,57.735,16.253,52.161,35.908
BPFrag8_T6,7,0.519,1.66,0.071,0.379,0.308
BPFrag9_T6,89,14.67,54.852,15.315,51.679,36.364
DLFrag10_T6,52,11.309,44.29,15.851,40.617,24.766
DLFrag11_T6,55,22.075,77.906,19.342,104.986,85.644
DLFrag13_T6,65,21.741,95.445,36.822,135.169,98.347
DLFrag15_T6,40,0.551,14.693,3.432,5.021,1.589
DLFrag16_T6,48,11.739,42.847,12.469,35.585,23.116
DLFrag17_T6,40,3.688,18.157,5.262,9.874,4.612
DLFrag18_T6,51,16.853,59.476,14.737,77.16,62.423
DLFrag19_T6,53,12.296,50.486,15.266,55.126,39.86
DLFrag1_T6,64,20.928,82.091,24.941,87.242,62.301
DLFrag20_T6,49,8.413,36.104,11.637,30.223,18.586
DLFrag21_T6,21,2.981,8.821,1.888,2.91,1.022
DLFrag22_T6,50,9.598,45.975,17.954,44.436,26.482
DLFrag23_T6,40,2.549,16.876,4.162,7.769,3.607
DLFrag24_T6,35,0.786,12.679,4.175,5.356,1.181
DLFrag25_T6,19,0.744,5.935,1.634,2.199,0.565
DLFrag26_T6,36,1.295,12.001,3.9,5.556,1.656
DLFrag27_T6,18,0.093,2.322,0.201,0.467,0.266
DLFrag29_T6,59,11.249,48.263,17.395,46.02,28.625
DLFrag2_T6,26,2.407,17.953,5.484,8.704,3.22
DLFrag30_T6,41,0.816,11.796,3.684,4.976,1.292
DLFrag3_T6,84,41.397,129.003,31.175,272.951,241.776
DLFrag4_T6,46,4.227,24.928,7.424,14.978,7.554
DLFrag5_T6,83,33.378,106.217,29.983,126.257,96.274
DLFrag6_T6,83,23.351,74.204,21.461,102.872,81.411
DLFrag7_T6,75,16.767,64.78,22.004,66.703,44.699
DLFrag8_T6,82,29.397,99.191,26.752,137.017,110.265
DLFrag9_T6,39,1.265,12.011,3.825,5.099,1.274
EDR10_T6,65,10.284,53.147,15.766,50.933,35.167
EDR11_T6,61,40.079,132.264,33.503,218.378,184.875
EDR13_T6,25,0.464,9.71,0.34,2.894,2.554
EDR15_T6,46,1.705,12.047,3.737,5.367,1.63
EDR18_T6,66,17.567,64.733,16.864,64.744,47.88
EDR19_T6,42,2.959,29.401,8.723,19.851,11.128
EDR1_T6,45,4.619,25.857,5.942,17.995,12.053
EDR20_T6,45,12.474,51.531,14.85,47.134,32.284
EDR21_T6,83,12.313,43.505,13.381,38.559,25.178
EDR23_T6,86,44.729,130.446,36.538,219.84,183.302
EDR26_T6,83,37.773,136.155,39.925,210.753,170.828
EDR27_T6,83,51.138,163.868,48.808,270.862,222.054
EDR28_T6,76,21.275,81.189,27.475,88.57,61.095
EDR29_T6,83,34.895,114.974,37.875,154.121,116.246
EDR2_T6,68,40.145,136.949,32.628,224.121,191.493
EDR4_T6,46,3.247,19.955,5.695,11.449,5.754
EDR5_T6,39,15.373,62.457,24.07,46.667,22.597
EDR6_T6,30,1.253,15.245,4.499,7.367,2.868
EDR7_T6,34,0.558,9.552,1.778,3.49,1.712
EDR9_T6,87,55.821,200.982,54.715,450.662,395.947
ESFrag10_T6,55,2.89,23.256,35.36,79.308,43.948
ESFrag11_T6,78,30.093,112.133,25.807,167.689,141.882
ESFrag12_T6,64,20.333,81.919,20.362,103.275,82.913
ESFrag13_T6,49,18.927,90.849,27.234,105.986,78.752
ESFrag14_T6,58,20.047,89.507,22.984,117.189,94.205
ESFrag17_T6,59,5.563,19.44,3.952,11.34,7.388
ESFrag18_T6,81,30.797,99.82,22.564,178.298,155.734
ESFrag19_T6,44,3.293,15.43,3.845,7.261,3.416
ESFrag1_T6,51,1.324,14.368,3.458,5.773,2.315
ESFrag20_T6,77,23.365,100.028,29.791,139.942,110.151
ESFrag21_T6,77,20.188,54.783,13.351,55.517,42.166
ESFrag22_T6,65,7.4329,50.014,16.858,54.759,37.901
ESFrag23_T6,83,35.596,120.281,33.795,183.611,149.816
ESFrag24_T6,78,16.77,67.478,21.42,84.429,63.009
ESFrag25_T6,84,22.948,94.298,31.875,119.672,87.797
ESFrag26_T6,77,10.702,36.026,9.51,29.638,20.128
ESFrag27_T6,84,19.796,66.012,18.033,76.056,58.023
ESFrag28_T6,83,30.277,98.512,29.423,141.631,112.208
ESFrag29_T6,69,18.336,66.27,21.48,73.219,51.739
ESFrag2_T6,87,33.868,146.715,42.678,160.666,117.988
ESFrag30_T6,76,21.262,93.736,30.643,159.465,128.822
ESFrag4_T6,67,16.627,77.33,21.158,80.237,59.079
ESFrag5_T6,73,8.005,45.551,15.589,43.634,28.045
